country_name,confirmed_cases,recovered,total_deaths,people_vaccinated,people_fully_vaccinated,confirmed_female,confirmed_male,confirmed,hospitalized,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90_99
Hong Kong,2,,0,28083,10150,,2,2,2,0,0,0,0,0,0,0,0,0,0
Hungary,0,,0,13521,44805,,,0,,,,,,,,,,,
Iceland,1,,0,,,,,1,,,,,,,,,,,
India,84332,,4002,3103616,321782,92,104,84332,,,,0,0,0,0,0,0,0,0
Indonesia,8892,5661,211,492664,52658,,,8892,,,,,,,,,,,
Iran,9966,,124,,,,,9966,,,,,,,,,,,
Iraq,4320,,20,,,,,4320,,,,,,,,,,,
Ireland,319,,0,26485,32949,,,319,,,,,,,,,,,
Isle of Man,0,,0,,,,,0,,,,,,,,,,,
Israel,18,,0,3351,1292,,,18,,,,,,,,,,,
Italy,2079,7616,88,493916,128642,,,2079,,,,,,,,,,,
Ivory Coast,0,,0,18595,,,,0,,,,,,,,,,,
Jamaica,80,,2,,,,,80,,,,,,,,,,,
Japan,2041,,66,762148,393841,,,2041,33943,,,,,,,,,,
Jersey,6,,0,,,,,6,,,,,,,,,,,
Jordan,343,,7,5507,21890,,,343,,,,,,,,,,,
Kazakhstan,1181,,0,44691,23856,,,1181,,,,,,,,,,,
Kenya,488,,16,2355,26317,,,488,,,,,,,,,,,
Kiribati,0,,0,,,,,0,,,,,,,,,,,
Kosovo,11,,1,,,,,11,,,,,,,,,,,
Kuwait,1657,,3,,,,,1657,,,,,,,,,,,
Kyrgyzstan,619,,5,,,,,619,,,,,,,,,,,
Laos,4,,0,4129,15639,,,4,,,,,,,,,,,
Latvia,178,,2,6066,12562,,,178,,,,,,,,,,,
Lebanon,206,,5,16842,3972,,,206,,,,,,,,,,,
Lesotho,3,,0,,,,,3,,,,,,,,,,,
Liberia,51,,4,0,327,,,51,,,,,,,,,,,
Libya,376,,3,,,,,376,,,,,,,,,,,
Liechtenstein,3,2,0,563,11,,,3,0,,,,,,,,,,
Lithuania,225,,5,8967,17971,,,225,,,,,,,,,,,
Luxembourg,23,,0,2680,0,,,23,,,,,,,,,,,
Macau,,,,6332,947,,,,,,,,,,,,,,
Macedonia,20,,2,1617,8736,,,20,,,,,,,,,,,
Madagascar,25,,3,18761,,,,25,,,,,,,,,,,
Malawi,23,,0,942,1376,,,23,,,,,,,,,,,
Malaysia,5671,7325,73,113853,47521,2639,3032,5671,1306,0,0,1,3,3,13,22,18,6,2
Maldives,246,,3,124,868,,,246,,,,,,,,,,,
Mali,7,,2,3609,1090,,,7,,,,,,,,,,,
Malta,2,,0,1170,4589,,,2,,,,,,,,,,,
Marshall Islands,0,,0,36,100,,,0,,,,,,,,,,,
Martinique,0,,0,,,,,0,,,,,,,,,,,
Mauritania,46,,1,7165,132,,,46,,,,,,,,,,,
Mauritius,0,,0,,,,,0,,,,,,,,,,,
Mayotte,18,,0,,,,,18,,,,,,,,,,,
Mexico,3308,,88,159781,108790,,,3308,327,,,,,,,,,,
Micronesia,0,,0,,,,,0,,,,,,,,,,,
Moldova,54,,2,3673,6636,,,54,,,,,,,,,,,
Monaco,4,,0,1132,1059,,,4,,,,,,,,,,,
Mongolia,1792,,4,3153,24189,,,1792,,,,,,,,,,,
Montenegro,24,,0,817,2976,,,24,,,,,,,,,,,
Montserrat,0,,0,,,,,0,,,,,,,,,,,
Morocco,400,,10,4085,190918,,,400,,,,,,,,,,,
Mozambique,76,,0,618,0,,,76,,,,,,,,,,,
Myanmar,166,,2,,,,,166,,,,,,,,,,,
Namibia,1432,,5,2652,720,,,1432,,,,,,,,,,,
Nauru,0,,0,,,,,0,,,,,,,,,,,
Nepal,2382,,61,74799,0,,,2382,,,,,,,,,,,
Netherlands,1387,,3,,,,,1387,,,,,,,,,,,
New Caledonia,0,,0,,,,,0,,,,,,,,,,,
New Zealand,5,,0,13937,9477,2,3,5,,,,,,,,,,,
Nicaragua,0,,0,,,,,0,,,,,,,,,,,
Niger,2,,0,,,,,2,,,,,,,,,,,
Nigeria,24,,0,,,,,24,,,,,,,,,,,
Niue,0,,0,,,,,0,,,,,,,,,,,
North Korea,0,,0,,,,,0,,,,,,,,,,,
Northern Mariana Islands,0,,0,,,,,0,,,,,,,,,,,
Norway,202,,0,40190,55782,,,202,,,,,,,,,,,
Oman,1622,,15,,,,,1622,,,,,,,,,,,
Pakistan,1303,,47,,,,,1303,,,,,,,,,,,
Palau,1,,0,0,0,,,1,,,,,,,,,,,
Palestine,211,,4,,,,,211,,,,,,,,,,,
Panama,841,,6,,,,,841,,,,,,,,,,,
Papua New Guinea,21,,1,,,,,21,,,,,,,,,,,
Paraguay,2758,,134,10622,4505,,,2758,,,,,,,,,,,
Peru,2917,,326,124787,106787,1510,1407,2917,,0,2,2,13,31,65,94,64,46,9
Philippines,7251,832,126,0,0,3638,3613,7251,234,0,0,1,7,12,23,39,31,10,3
Pitcairn Islands,0,,0,,,,,0,,,,,,,,,,,
Poland,341,,68,187103,298786,,,341,,,,,,,,,,,
Portugal,454,,1,,,,,454,,,,,,,,,,,
Puerto Rico,64,,4,,,,,64,,,,,,,,,,,
Qatar,185,,0,5846,13169,,,185,,,,,,,,,,,
Republic of the Congo,0,,0,2168,,,,0,,,,,,,,,,,
Romania,133,122,148,18554,32110,,,133,,,,,,,,,,,
Russia,12505,,396,164882,182544,,,12505,,,,,,,,,,,
Rwanda,0,,0,,,,,0,,,,,,,,,,,
Réunion,0,,0,,,,,0,,,,,,,,,,,
Saint Helena,0,,0,,,,,0,,,,,,,,,,,
Saint Kitts and Nevis,0,,0,403,1023,,,0,,,,,,,,,,,
Saint Lucia,4,,0,124,180,,,4,,,,,,,,,,,
Saint Vincent and the Grenadines,0,,0,0,,,,0,,,,,,,,,,,
Samoa,0,,0,,,,,0,,,,,,,,,,,
San Marino,0,,0,156,0,,,0,,,,,,,,,,,
Saudi Arabia,1175,,18,,,,,1175,,,,,,,,,,,
Senegal,50,,0,7558,890,,,50,,,,,,,,,,,
Serbia,172,,6,,,,,172,,,,,,,,,,,
Seychelles,227,,0,0,670,,,227,,,,,,,,,,,
Sierra Leone,23,,0,3846,1203,,,23,,,,,,,,,,,
Singapore,9,,0,31092,10832,,,9,,,,,,,,,,,
Sint Maarten,8,,1,,,,,8,,,,,,,,,,,
Slovakia,91,,3,9157,25576,,,91,,,,,,,,,,,
Slovenia,122,17,4,16223,17779,,,122,,,,,,,,,,,
Solomon Islands,0,,0,,,,,0,,,,,,,,,,,
Somalia,0,,0,,,,,0,,,,,,,,,,,
South Africa,8018,,181,71015,0,,,8018,,,,,,,,,,,
South Korea,565,,1,767842,289381,,,565,,,,,,,,,,,
South Sudan,0,,0,,,,,0,,,,,,,,,,,
Spain,4122,,26,335558,356051,2037,2083,4122,200,0,0,0,0,3,4,5,6,8,
Sri Lanka,2354,,63,66064,7690,,,2354,,,,,,,,,,,
Sudan,41,,7,,,,,41,,,,,,,,,,,
Suriname,233,,11,,,,,233,,,,,,,,,,,
Swaziland,18,,0,,,,,18,,,,,,,,,,,
Sweden,729,,3,,,,,729,,,,,,,,,,,
Switzerland,304,,3,63914,45187,,,304,12,,,,,,,,,,
Syria,24,,2,,,,,24,,,,,,,,,,,
São Tomé and Príncipe,1,,0,0,617,,,1,,,,,,,,,,,
Taiwan,265,,,22554,,139,126,265,,,,,,,,,,,
Tajikistan,0,,0,,,,,0,,,,,,,,,,,
Tanzania,0,,0,,,,,0,,,,,,,,,,,
Thailand,2310,3035,43,177353,45962,1240,1070,2310,,,,,,,,,,,
Togo,21,,0,0,28580,,,21,,,,,,,,,,,
Tokelau,0,,0,,,,,0,,,,,,,,,,,
Tonga,0,,0,,,,,0,,,,,,,,,,,
Trinidad and Tobago,273,,14,7905,1261,,,273,,,,,,,,,,,
Tunisia,2161,,60,22412,303,,,2161,,,,,,,,,,,
Turkey,6408,,96,428437,91794,,,6408,,,,,,,,,,,
Turkmenistan,0,,0,,,,,0,,,,,,,,,,,
Turks and Caicos Islands,0,,0,,,,,0,,,,,,,,,,,
Tuvalu,0,,0,,,,,0,,,,,,,,,,,
Uganda,1727,,5,0,0,,,1727,,,,,,,,,,,
Ukraine,1785,6513,97,30744,23585,,,1785,,,,,,,,,,,
United Arab Emirates,2281,,3,0,0,,,2281,,,,,,,,,,,
United Kingdom,8042,,13,201607,308038,,,8042,201,,,,,,,,,,
United States Virgin Islands,20,,0,,,,,20,,,,,,,,,,,
United States of America,15470,,382,406118,603142,9206,8866,15470,2216,,,,,,,,,,
Uruguay,3622,,46,13459,31063,,,3622,,,,,,,,,,,
Uzbekistan,314,,1,,,,,314,,,,,,,,,,,
Vanuatu,0,,0,,,,,0,,,,,,,,,,,
Vatican City,0,,0,,,,,0,,,,,,,,,,,
Venezuela,1083,,17,,,,,1083,,,,,,,,,,,
Vietnam,213,,2,18817,2844,,,213,,,,,,,,,,,
Wallis and Futuna,0,,0,,,,,0,,,,,,,,,,,
Yemen,20,,4,25146,,,,20,,,,,,,,,,,
Zambia,2065,,16,,,,,2065,,,,,,,,,,,
Zimbabwe,192,,3,532,4991,,,192,,,,,,,,,,,
